E,B,fitness_true,x0_true,rep,n_points,t_start,t_end,vaf_start,vaf_end,status,fitness_map,x0_map,err,abs_err,sq_err
200000.0,0.001,0.3,1.0,14,14,66.03301650825412,144.072036018009,0.10145353105270885,0.49483891147951203,ok,0.289386617019716,22002.675316178796,-0.01061338298028397,0.01061338298028397,0.00011264389828618144
200000.0,0.001,0.3,1.0,15,14,66.03301650825412,144.072036018009,0.09305896805896806,0.4927947598253275,ok,0.33839358317711876,18068.619350424156,0.03839358317711877,0.03839358317711877,0.0014740672291783377
200000.0,0.001,0.3,1.0,16,14,66.03301650825412,144.072036018009,0.10423501342081717,0.5025260029717682,ok,0.30000143923765765,22164.456285291417,1.4392376576632948e-06,1.4392376576632948e-06,2.0714050352361273e-12
200000.0,0.001,0.3,1.0,17,14,66.03301650825412,144.072036018009,0.0992085152838428,0.49812141585920505,ok,0.31000318650224745,22493.16808080117,0.010003186502247463,0.010003186502247463,0.00010006374019874584
200000.0,0.001,0.3,1.0,18,14,66.03301650825412,144.072036018009,0.10069862683690677,0.5012892135797163,ok,0.28673272125416294,22970.164555825304,-0.013267278745837052,0.013267278745837052,0.00017602068531973958
200000.0,0.001,0.3,1.0,19,14,66.03301650825412,144.072036018009,0.10538800406641817,0.5019640852974186,ok,0.29756248048212686,22617.682633621436,-0.0024375195178731324,0.0024375195178731324,5.941501400012467e-06
200000.0,0.01,0.3,1.0,0,14,66.03301650825412,144.072036018009,0.1039739636861939,0.4988797610156833,ok,0.3022480360224558,21369.920497850064,0.002248036022455824,0.002248036022455824,5.0536659582590015e-06
200000.0,0.01,0.3,1.0,1,14,66.03301650825412,144.072036018009,0.10077145612343298,0.5083612040133779,ok,0.32198824379655855,22856.298085891514,0.02198824379655856,0.02198824379655856,0.000483482865256896
200000.0,0.01,0.3,1.0,2,14,66.03301650825412,144.072036018009,0.10352725606962895,0.49593054801953335,ok,0.24202913806847423,24842.976126747446,-0.05797086193152576,0.05797086193152576,0.0033606208330840223
200000.0,0.01,0.3,1.0,3,14,66.03301650825412,144.072036018009,0.0955068374213154,0.5067098565478945,ok,0.3067352955325375,19647.99394765329,0.006735295532537489,0.006735295532537489,4.5364205910619455e-05
200000.0,0.01,0.3,1.0,4,14,66.03301650825412,144.072036018009,0.10244930208058994,0.5054393305439331,ok,0.30153780107291095,21631.55037984446,0.0015378010729109604,0.0015378010729109604,2.364832139846101e-06
200000.0,0.01,0.3,1.0,5,14,66.03301650825412,144.072036018009,0.09789609274366681,0.49712841718355155,ok,0.3260638626116487,17521.82059656804,0.026063862611648725,0.026063862611648725,0.0006793249342389002
200000.0,0.01,0.3,1.0,6,14,66.03301650825412,144.072036018009,0.10156730178242164,0.4942408376963351,ok,0.3022436007116138,23240.192642746242,0.0022436007116138357,0.0022436007116138357,5.03374415315411e-06
200000.0,0.01,0.3,1.0,7,14,66.03301650825412,144.072036018009,0.09374560787069572,0.5048774057474295,ok,0.32844876961642905,22255.925473961466,0.02844876961642906,0.02844876961642906,0.0008093324926886572
200000.0,0.01,0.3,1.0,8,14,66.03301650825412,144.072036018009,0.0975609756097561,0.4939088061260007,ok,0.28890984064480113,21236.726622628415,-0.011090159355198859,0.011090159355198859,0.00012299163452370477
200000.0,0.01,0.3,1.0,9,14,66.03301650825412,144.072036018009,0.10173945688900013,0.4981151473612063,ok,0.30978991693171926,22183.088781988306,0.009789916931719267,0.009789916931719267,9.584247352996358e-05
200000.0,0.01,0.3,1.0,10,14,66.03301650825412,144.072036018009,0.10177762286510979,0.4905094905094905,ok,0.28200009500712786,22441.16104524094,-0.01799990499287213,0.01799990499287213,0.000323996579752423
200000.0,0.01,0.3,1.0,11,14,66.03301650825412,144.072036018009,0.10423390924625024,0.5023690078037905,ok,0.2876176643927951,22076.87967415491,-0.012382335607204864,0.012382335607204864,0.00015332223508945344
200000.0,0.01,0.3,1.0,12,14,66.03301650825412,144.072036018009,0.11806167400881057,0.4900231347599769,ok,0.35638213545770847,15157.754092829464,0.05638213545770848,0.05638213545770848,0.003178945198771388
200000.0,0.01,0.3,1.0,13,14,66.03301650825412,144.072036018009,0.09938524590163934,0.49212836815016653,ok,0.3056258453960572,18465.80603074895,0.005625845396057205,0.005625845396057205,3.165013642033805e-05
200000.0,0.01,0.3,1.0,14,14,66.03301650825412,144.072036018009,0.09934909215484755,0.4981238273921201,ok,0.3121544123829676,20959.770810741757,0.012154412382967605,0.012154412382967605,0.00014772974037523625
200000.0,0.01,0.3,1.0,15,14,66.03301650825412,144.072036018009,0.10779537149817296,0.497760439242884,ok,0.28548829628978495,22722.482555118193,-0.01451170371021504,0.01451170371021504,0.00021058954457306897
200000.0,0.01,0.3,1.0,16,14,66.03301650825412,144.072036018009,0.10818989975411386,0.47,ok,0.2928364632847081,24916.60865809736,-0.007163536715291907,0.007163536715291907,5.131625827133517e-05
200000.0,0.01,0.3,1.0,17,14,66.03301650825412,144.072036018009,0.1014027378739226,0.5097268618589114,ok,0.2993905287916061,21267.511372493464,-0.0006094712083938858,0.0006094712083938858,3.714551538611034e-07
200000.0,0.01,0.3,1.0,18,14,66.03301650825412,144.072036018009,0.0975991649269311,0.51052768390954,ok,0.27079437782694676,22637.65119577831,-0.029205622173053225,0.029205622173053225,0.0008529683665151382
200000.0,0.01,0.3,1.0,19,14,66.03301650825412,144.072036018009,0.10069984447900467,0.4982137057486197,ok,0.2755689673556359,21470.044978922313,-0.02443103264436408,0.02443103264436408,0.0005968753560699834
200000.0,0.1,0.3,1.0,0,14,66.03301650825412,144.072036018009,0.09422792303897386,0.48028673835125446,ok,1.0,23089.48526529288,0.7,0.7,0.48999999999999994
200000.0,0.1,0.3,1.0,1,14,66.03301650825412,144.072036018009,0.10363101079489696,0.5020180068301769,ok,0.26497420329101695,21413.711649094123,-0.03502579670898304,0.03502579670898304,0.001226806435099007
200000.0,0.1,0.3,1.0,2,14,66.03301650825412,144.072036018009,0.09800128949065119,0.5159075686537173,ok,0.26186975831974063,22289.404140512972,-0.03813024168025936,0.03813024168025936,0.001453915330594988
200000.0,0.1,0.3,1.0,3,14,66.03301650825412,144.072036018009,0.09184940008274721,0.4993382491964454,ok,0.2798132871760957,16896.859850071745,-0.020186712823904274,0.020186712823904274,0.00040750337463478124
