fitness_true,E,W,x0_true,rep,n_points,t_start,t_end,vaf_start,vaf_end,status,fitness_map,x0_map
0.2,200000.0,1.0,1.0,14,14,96.048024012006,174.08704352176088,0.05829903978052126,0.5030698388334612,ok,0.9999999023642601,114.92984239409404
0.2,200000.0,1.0,1.0,15,14,96.048024012006,174.08704352176088,0.0688274547187798,0.5033929673041333,ok,0.10145024605498124,14628.894447891189
0.2,200000.0,1.0,1.0,16,14,96.048024012006,174.08704352176088,0.06348400203148806,0.4938894792773645,ok,0.10016990164467687,14906.969458522335
0.2,200000.0,1.0,1.0,17,14,96.048024012006,174.08704352176088,0.06955380577427822,0.4973242953977881,ok,0.09986669057203774,14889.410005946165
0.2,200000.0,1.0,1.0,18,14,96.048024012006,174.08704352176088,0.06189096655254148,0.49818840579710144,ok,0.10084312744555217,14410.004288823287
0.2,200000.0,1.0,1.0,19,14,96.048024012006,174.08704352176088,0.06555697823303457,0.49678800856531047,ok,0.09818801644829601,15242.048209114471
0.2,1000000.0,1.0,1.0,0,14,54.02701350675337,132.06603301650824,0.07235589406266228,0.505206525511975,ok,0.1783023279114012,17035.812075709608
0.2,1000000.0,1.0,1.0,1,14,54.02701350675337,132.06603301650824,0.07358330983930082,0.49376522860828437,ok,0.1829420835031269,16560.35403859751
0.2,1000000.0,1.0,1.0,2,14,54.02701350675337,132.06603301650824,0.07277329536465749,0.5030188028290495,ok,0.17731836937631784,16342.143535649273
0.2,1000000.0,1.0,1.0,3,14,54.02701350675337,132.06603301650824,0.06705045716220792,0.4878257887517147,ok,0.18570426042318244,15592.977551096275
0.2,1000000.0,1.0,1.0,4,14,54.02701350675337,132.06603301650824,0.07870837537840565,0.507447354904982,ok,1.0,16064.688023431814
0.2,1000000.0,1.0,1.0,5,14,54.02701350675337,132.06603301650824,0.06744141741284054,0.4912834135812718,ok,0.18838898518412853,15999.279762741931
0.2,1000000.0,1.0,1.0,6,14,54.02701350675337,132.06603301650824,0.07370886231973377,0.4951114587407118,ok,0.17459318070578544,17469.35940606327
0.2,1000000.0,1.0,1.0,7,14,54.02701350675337,132.06603301650824,0.07692307692307693,0.5051028179741051,ok,0.16704181667762416,19074.254691191778
0.2,1000000.0,1.0,1.0,8,14,54.02701350675337,132.06603301650824,0.0709289084106068,0.4899810964083176,ok,0.18201585904252476,15772.895015503771
0.2,1000000.0,1.0,1.0,9,14,54.02701350675337,132.06603301650824,0.08376963350785341,0.4903010033444816,ok,0.17738201606510415,17381.26733240037
0.2,1000000.0,1.0,1.0,10,14,54.02701350675337,132.06603301650824,0.0706754060986036,0.5020335536349771,ok,0.1785176954384768,16908.302359476547
0.2,1000000.0,1.0,1.0,11,14,54.02701350675337,132.06603301650824,0.07257762813318369,0.49803613511390415,ok,0.17508180836472975,17264.885603161663
0.2,1000000.0,1.0,1.0,12,14,54.02701350675337,132.06603301650824,0.0708130972896757,0.5025611838360843,ok,0.17706146150672808,16768.084558525134
0.2,1000000.0,1.0,1.0,13,14,54.02701350675337,132.06603301650824,0.07067812798471824,0.5018107741059303,ok,0.17840953444605628,16536.676599229027
0.2,1000000.0,1.0,1.0,14,14,54.02701350675337,132.06603301650824,0.07339285714285715,0.5023375785910044,ok,0.1767461757665775,17009.104734509743
0.2,1000000.0,1.0,1.0,15,14,54.02701350675337,132.06603301650824,0.07317715188207423,0.510507880910683,ok,0.17888353853088612,17388.923592219286
0.2,1000000.0,1.0,1.0,16,14,54.02701350675337,132.06603301650824,0.07153376814643383,0.48468883766875204,ok,0.18109040272978527,16963.125570642766
0.2,1000000.0,1.0,1.0,17,14,54.02701350675337,132.06603301650824,0.0695730068677217,0.4980886850152905,ok,0.1804098713540338,15810.207775416982
0.2,1000000.0,1.0,1.0,18,14,54.02701350675337,132.06603301650824,0.07142857142857142,0.5059584610146408,ok,1.0,399.25861957316215
0.2,1000000.0,1.0,1.0,19,14,54.02701350675337,132.06603301650824,0.07452515586486878,0.4908015768725361,ok,0.1835644270862805,17127.13045363272
0.30000000000000004,200000.0,1.0,1.0,0,14,66.03301650825412,144.072036018009,0.0840064620355412,0.49865951742627346,ok,0.14510016181525512,20226.67046576147
0.30000000000000004,200000.0,1.0,1.0,1,14,66.03301650825412,144.072036018009,0.07966457023060797,0.4999073215940686,ok,0.1419326628837066,21517.503716816977
0.30000000000000004,200000.0,1.0,1.0,2,14,66.03301650825412,144.072036018009,0.07696409527195165,0.4962971402529338,ok,0.15309023231267457,19138.70002597041
0.30000000000000004,200000.0,1.0,1.0,3,14,66.03301650825412,144.072036018009,0.0784474287585981,0.5075292805354155,ok,0.1507332605607738,19496.12109024785
0.30000000000000004,200000.0,1.0,1.0,4,14,66.03301650825412,144.072036018009,0.08570443179858596,0.5055664702030125,ok,0.1530657240891812,19632.485682478007
0.30000000000000004,200000.0,1.0,1.0,5,14,66.03301650825412,144.072036018009,0.08490566037735849,0.5054563492063492,ok,0.14437532678495896,21850.51701366568
0.30000000000000004,200000.0,1.0,1.0,6,14,66.03301650825412,144.072036018009,0.0819000819000819,0.4955941890926411,ok,0.9999999999970153,594.3532623766665
0.30000000000000004,200000.0,1.0,1.0,7,14,66.03301650825412,144.072036018009,0.08797703478554543,0.5059899117276166,ok,0.1423444533305672,21624.602788125863
0.30000000000000004,200000.0,1.0,1.0,8,14,66.03301650825412,144.072036018009,0.0783872901678657,0.4946831755280408,ok,0.15681364496281625,18669.727743124608
0.30000000000000004,200000.0,1.0,1.0,9,14,66.03301650825412,144.072036018009,0.08522238163558106,0.49135925556663346,ok,0.15155242555052223,19725.46586732359
0.30000000000000004,200000.0,1.0,1.0,10,14,66.03301650825412,144.072036018009,0.08885941644562334,0.49655837004405284,ok,0.14154930248216283,21722.929129554585
0.30000000000000004,200000.0,1.0,1.0,11,14,66.03301650825412,144.072036018009,0.08460861917326297,0.4943612186500589,ok,0.147788584633453,20387.873673491984
0.30000000000000004,200000.0,1.0,1.0,12,14,66.03301650825412,144.072036018009,0.08682634730538923,0.49539282250242483,ok,0.14862895330437886,20792.393445132046
0.30000000000000004,200000.0,1.0,1.0,13,14,66.03301650825412,144.072036018009,0.08664140998188108,0.49782713664896183,ok,1.0,18591.1311874236
0.30000000000000004,200000.0,1.0,1.0,14,14,66.03301650825412,144.072036018009,0.08731529456918058,0.5107752956636005,ok,0.14897643776133485,20697.362915659516
0.30000000000000004,200000.0,1.0,1.0,15,14,66.03301650825412,144.072036018009,0.08604815864022664,0.5011843663639952,ok,0.14655837020837992,21344.05818368206
0.30000000000000004,200000.0,1.0,1.0,16,14,66.03301650825412,144.072036018009,0.08747663551401869,0.49397824397824397,ok,0.1456725508323955,20579.67130248779
0.30000000000000004,200000.0,1.0,1.0,17,14,66.03301650825412,144.072036018009,0.07809822958309537,0.5064412238325282,ok,0.15960070889471747,18538.830154569023
0.30000000000000004,200000.0,1.0,1.0,18,14,66.03301650825412,144.072036018009,0.08700764256319812,0.4949731903485255,ok,0.15464563287125477,20509.575599705495
0.30000000000000004,200000.0,1.0,1.0,19,14,66.03301650825412,144.072036018009,0.0827757392618174,0.4998624105668685,ok,0.15138130321191137,20313.20043205404
0.30000000000000004,1000000.0,1.0,1.0,0,14,36.01800900450225,114.05702851425713,0.07194767441860465,0.5006892326543115,ok,0.9999999997958215,348.3393322872021
0.30000000000000004,1000000.0,1.0,1.0,1,14,36.01800900450225,114.05702851425713,0.07082995404163288,0.4964985994397759,ok,1.0,15490.29557853291
0.30000000000000004,1000000.0,1.0,1.0,2,14,36.01800900450225,114.05702851425713,0.07439271255060728,0.496805520061334,ok,0.26999592154145147,17204.85146459644
0.30000000000000004,1000000.0,1.0,1.0,3,14,36.01800900450225,114.05702851425713,0.06702282661486159,0.49955343852337003,ok,1.0,14285.396363271515
0.30000000000000004,1000000.0,1.0,1.0,4,14,36.01800900450225,114.05702851425713,0.07839388145315487,0.4920552677029361,ok,0.2625085343945116,17969.679892688953
0.30000000000000004,1000000.0,1.0,1.0,5,14,36.01800900450225,114.05702851425713,0.07092684598252527,0.5074478649453823,ok,0.2703112725276567,16640.76706934945
0.30000000000000004,1000000.0,1.0,1.0,6,14,36.01800900450225,114.05702851425713,0.07185305240410589,0.5020275750202757,ok,0.27654036845614294,16631.247903098672
0.30000000000000004,1000000.0,1.0,1.0,7,14,36.01800900450225,114.05702851425713,0.0750120987256009,0.4948043334070307,ok,1.0,15658.21530170548
0.30000000000000004,1000000.0,1.0,1.0,8,14,36.01800900450225,114.05702851425713,0.07087411407357408,0.5113207547169811,ok,0.2643722114879556,16704.94756286218
0.30000000000000004,1000000.0,1.0,1.0,9,14,36.01800900450225,114.05702851425713,0.07009104964782684,0.488749425991122,ok,0.2728710535660443,16517.232349292302
0.30000000000000004,1000000.0,1.0,1.0,10,14,36.01800900450225,114.05702851425713,0.07780212899185973,0.49810082872928174,ok,0.26595701054387905,17456.076241880124
0.30000000000000004,1000000.0,1.0,1.0,11,14,36.01800900450225,114.05702851425713,0.0616822429906542,0.5021201413427562,ok,0.9999995006185314,233.20321213397807
0.30000000000000004,1000000.0,1.0,1.0,12,14,36.01800900450225,114.05702851425713,0.07202145319882518,0.49821861194242556,ok,0.27103427171793165,16943.45482370684
0.30000000000000004,1000000.0,1.0,1.0,13,14,36.01800900450225,114.05702851425713,0.0718132854578097,0.5017887403502165,ok,1.0,15088.987678348263
0.30000000000000004,1000000.0,1.0,1.0,14,14,36.01800900450225,114.05702851425713,0.07206238236084969,0.5031715826197273,ok,0.2641452165317935,17184.23001622936
0.30000000000000004,1000000.0,1.0,1.0,15,14,36.01800900450225,114.05702851425713,0.07860615883306321,0.4929618768328446,ok,0.9999999812340913,288.48586686823046
0.30000000000000004,1000000.0,1.0,1.0,16,14,36.01800900450225,114.05702851425713,0.07066508313539192,0.49983851867800627,ok,0.9999999997396511,242.61555293772224
0.30000000000000004,1000000.0,1.0,1.0,17,14,36.01800900450225,114.05702851425713,0.07282693813625685,0.5169886742171885,ok,1.0,15927.018804000401
0.30000000000000004,1000000.0,1.0,1.0,18,14,36.01800900450225,114.05702851425713,0.06866825208085613,0.4982656954561221,ok,0.2855740674537148,15492.158784010031
0.30000000000000004,1000000.0,1.0,1.0,19,14,36.01800900450225,114.05702851425713,0.07452830188679245,0.52,ok,0.9999999999999885,411.87723983834513
0.4,200000.0,1.0,1.0,0,14,48.024012006003,126.06303151575787,0.05943840951014552,0.5042826552462527,ok,0.20472486173888063,14072.264518820568
0.4,200000.0,1.0,1.0,1,14,48.024012006003,126.06303151575787,0.06774193548387097,0.5014147130153598,ok,0.19729517166064187,15590.439383778457
0.4,200000.0,1.0,1.0,2,14,48.024012006003,126.06303151575787,0.06560347952156578,0.4976627712854758,ok,0.19957492466768462,15308.876677746157
0.4,200000.0,1.0,1.0,3,14,48.024012006003,126.06303151575787,0.06253489670575098,0.4934928631402183,ok,0.20240744651051937,15467.53994520803
